0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:19 +0800] "GET /test/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:19 +0800] "GET /test/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:19 +0800] "GET /test/pic/Login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:19 +0800] "GET /test/pic/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:19 +0800] "GET /test/pic/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:19 +0800] "GET /test/pic/indexs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:19 +0800] "GET /test/pic/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:19 +0800] "GET /test/pic/indexbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:19 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:21 +0800] "GET /test/Login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:23 +0800] "GET /test/Register.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:34 +0800] "GET /test/Login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:29:37 +0800] "GET /test/Register.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:30:21 +0800] "GET /test/Register.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:31:06 +0800] "GET /test/Register.jsp HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:31:10 +0800] "GET /test/Login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:31:13 +0800] "GET /test/Login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:31:15 +0800] "GET /test/Register.jsp HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:32:19 +0800] "GET /test/Login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:32:26 +0800] "GET /test/Register.jsp. HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:32:39 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:32:39 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:32:41 +0800] "GET /test/Login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:32:41 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:32:41 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:32:42 +0800] "GET /test/Register.jsp HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:32:42 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:32:42 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:23:19:16 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:23:19:16 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:23:19:16 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:23:19:16 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:23:50:38 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:23:50:38 +0800] "GET /favicon.ico HTTP/1.1" 404 973
