127.0.0.1 - - [17/Mar/2017:10:40:00 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:40:01 +0800] "GET /tlweb/CustomCtrl.jsp HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:40:01 +0800] "GET /tlweb/Css/CustomCtrl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:40:01 +0800] "GET /tlweb/pic/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:40:01 +0800] "GET /tlweb/pic/regadd.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:40:03 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C%22&datetime=1489718403808 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:14 +0800] "GET /tlweb/CustomCtrl.jsp HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:15 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C%22&datetime=1489718475953 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:18 +0800] "GET /tlweb/CustomCtrl.jsp HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:18 +0800] "GET /tlweb/Css/CustomCtrl.css HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:18 +0800] "GET /tlweb/pic/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:18 +0800] "GET /tlweb/pic/regadd.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:18 +0800] "GET /tlweb/CustomCtrl.jsp HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:19 +0800] "GET /tlweb/Css/CustomCtrl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:19 +0800] "GET /tlweb/pic/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:19 +0800] "GET /tlweb/pic/regadd.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:20 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C%22&datetime=1489718480081 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:42 +0800] "GET /tlweb/CustomCtrl.jsp HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:42 +0800] "GET /tlweb/Css/CustomCtrl.css HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:43 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C%22&datetime=1489718503561 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:41:46 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C%22&datetime=1489718506431 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:42:52 +0800] "GET /tlweb/CustomCtrl.jsp HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:42:52 +0800] "GET /tlweb/Css/CustomCtrl.css HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:42:54 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C%22&datetime=1489718574041 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:42:54 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C%22&datetime=1489718574664 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:43:27 +0800] "GET /tlweb/CustomCtrl.jsp HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:43:27 +0800] "GET /tlweb/Css/CustomCtrl.css HTTP/1.1" 200 2136
